Services system time timestamps
Capture start: 1659119820.523484496
Capture   end: 1659119863.988508644

Frames:
   0, 1659119820.576111076
   1, 1659119820.615349148
   2, 1659119820.660841584
   3, 1659119820.705697380
   4, 1659119820.751759680
   5, 1659119820.797430704
   6, 1659119820.842371576
   7, 1659119820.890924012
   8, 1659119820.933886820
   9, 1659119820.979020244
  10, 1659119821.024965748
  11, 1659119821.069855600
  12, 1659119821.114957768
  13, 1659119821.161105096
  14, 1659119821.209055620
  15, 1659119821.251326180
  16, 1659119821.296441588
  17, 1659119821.341994020
  18, 1659119821.387625860
  19, 1659119821.433604492
  20, 1659119821.478433800
  21, 1659119821.523860080
  22, 1659119821.569150608
  23, 1659119821.614939456
  24, 1659119821.660555028
  25, 1659119821.705566984
  26, 1659119821.750988700
  27, 1659119821.796518788
  28, 1659119821.842119128
  29, 1659119821.888556900
  30, 1659119821.932950956
  31, 1659119821.979164892
  32, 1659119822.023876204
  33, 1659119822.069148212
  34, 1659119822.114840128
  35, 1659119822.160278372
  36, 1659119822.205762656
  37, 1659119822.251539432
  38, 1659119822.296411896
  39, 1659119822.342583180
  40, 1659119822.387416780
  41, 1659119822.432953200
  42, 1659119822.478583876
  43, 1659119822.523668888
  44, 1659119822.569433976
  45, 1659119822.614531900
  46, 1659119822.660316980
  47, 1659119822.707477968
  48, 1659119822.750891452
  49, 1659119822.796534368
  50, 1659119822.841979224
  51, 1659119822.887556476
  52, 1659119822.934649624
  53, 1659119822.978637372
  54, 1659119823.023746508
  55, 1659119823.069375564
  56, 1659119823.115010480
  57, 1659119823.160297976
  58, 1659119823.205469876
  59, 1659119823.251135124
  60, 1659119823.296313232
  61, 1659119823.341876884
  62, 1659119823.388450784
  63, 1659119823.432646988
  64, 1659119823.478180380
  65, 1659119823.523677824
  66, 1659119823.569128096
  67, 1659119823.614885832
  68, 1659119823.659937632
  69, 1659119823.705703504
  70, 1659119823.751075548
  71, 1659119823.796585668
  72, 1659119823.842012196
  73, 1659119823.887668252
  74, 1659119823.933126360
  75, 1659119823.978586520
  76, 1659119824.023874408
  77, 1659119824.070041688
  78, 1659119824.114370524
  79, 1659119824.159909060
  80, 1659119824.205362596
  81, 1659119824.251023668
  82, 1659119824.297265024
  83, 1659119824.341771160
  84, 1659119824.387174152
  85, 1659119824.432667628
  86, 1659119824.478087212
  87, 1659119824.524140852
  88, 1659119824.568982076
  89, 1659119824.614455328
  90, 1659119824.660200512
  91, 1659119824.706243240
  92, 1659119824.750789048
  93, 1659119824.796559856
  94, 1659119824.841821616
  95, 1659119824.887264792
  96, 1659119824.933210560
  97, 1659119824.978356132
  98, 1659119825.023424544
  99, 1659119825.069440088
 100, 1659119825.114439520
 101, 1659119825.160153452
 102, 1659119825.205878932
 103, 1659119825.251622432
 104, 1659119825.296227980
 105, 1659119825.341870696
 106, 1659119825.387214192
 107, 1659119825.432538788
 108, 1659119825.477770416
 109, 1659119825.523647132
 110, 1659119825.569049100
 111, 1659119825.614321948
 112, 1659119825.660485120
 113, 1659119825.706350060
 114, 1659119825.750760120
 115, 1659119825.796936880
 116, 1659119825.841557012
 117, 1659119825.887031436
 118, 1659119825.932648432
 119, 1659119825.978622368
 120, 1659119826.024066672
 121, 1659119826.068730172
 122, 1659119826.114627992
 123, 1659119826.159819260
 124, 1659119826.205800284
 125, 1659119826.250821560
 126, 1659119826.296368236
 127, 1659119826.341738396
 128, 1659119826.387581716
 129, 1659119826.433977880
 130, 1659119826.478008604
 131, 1659119826.523629608
 132, 1659119826.568998068
 133, 1659119826.614807492
 134, 1659119826.660276480
 135, 1659119826.705631300
 136, 1659119826.750643624
 137, 1659119826.796189332
 138, 1659119826.841341788
 139, 1659119826.887104212
 140, 1659119826.932556868
 141, 1659119826.978386880
 142, 1659119827.023336816
 143, 1659119827.068627928
 144, 1659119827.114161368
 145, 1659119827.159942796
 146, 1659119827.205111424
 147, 1659119827.250918228
 148, 1659119827.296397232
 149, 1659119827.341412316
 150, 1659119827.386791620
 151, 1659119827.432387692
 152, 1659119827.477777652
 153, 1659119827.523910144
 154, 1659119827.568679700
 155, 1659119827.614073948
 156, 1659119827.659623284
 157, 1659119827.704980824
 158, 1659119827.750526916
 159, 1659119827.796340816
 160, 1659119827.841414984
 161, 1659119827.886726540
 162, 1659119827.935046872
 163, 1659119827.978800872
 164, 1659119828.024924756
 165, 1659119828.068696792
 166, 1659119828.114501888
 167, 1659119828.159366204
 168, 1659119828.204882684
 169, 1659119828.250327320
 170, 1659119828.295997960
 171, 1659119828.341710796
 172, 1659119828.386913772
 173, 1659119828.432742732
 174, 1659119828.477587772
 175, 1659119828.523319920
 176, 1659119828.568771704
 177, 1659119828.614094532
 178, 1659119828.659953596
 179, 1659119828.704877164
 180, 1659119828.751058932
 181, 1659119828.796365812
 182, 1659119828.842257836
 183, 1659119828.887614656
 184, 1659119828.932353516
 185, 1659119828.978381116
 186, 1659119829.023227668
 187, 1659119829.068513656
 188, 1659119829.113874896
 189, 1659119829.159739712
 190, 1659119829.204867336
 191, 1659119829.250743312
 192, 1659119829.295851824
 193, 1659119829.341284772
 194, 1659119829.386755176
 195, 1659119829.432058132
 196, 1659119829.477819672
 197, 1659119829.523453824
 198, 1659119829.568936784
 199, 1659119829.614201296
 200, 1659119829.659789372
 201, 1659119829.704841596
 202, 1659119829.750285632
 203, 1659119829.795724932
 204, 1659119829.841401772
 205, 1659119829.888579192
 206, 1659119829.932137972
 207, 1659119829.978066180
 208, 1659119830.023124352
 209, 1659119830.068561840
 210, 1659119830.115874076
